아파트명,기수,진행상황,계약완료,공사비초과 & 타사선정,수주가능성 (%),이슈
올림픽 선수촌 아파트,101,가실사 결과송부,진행중,,80%,"offer과다, 계약해지, 공사비용"
은평 레미안 베라힐즈,20,실사요청,진행중,,30%,"경쟁, 아파트 내부문제"
의정부 동신,10,4월이후 입대의,진행중,,50%,"날인시점, 아파트 내부문제"
삼창타워 플라자,4,실사요청,진행중,,50%,경쟁
원일 가대라곡 아파트,10,실사요청,진행중,,50%,경쟁
길음 푸르지오 2 3단지,75,4월이후 입대의,진행중,,50%,"경쟁, 관리소장, 아파트 내부문제"
거여 현대아파트,5,실사완료,진행중,,50%,경쟁
미사강변 하우스더레이크,12,실사요청,진행중,,50%,"2월22일 입대의, 경쟁"
호원우성1차아파트,4,계약완료,진행중,,50%,경쟁
역삼 아이파크,9,실사요청,진행중,,50%,경쟁
송내주공5단지,12,4월이후 입대의,진행중,,50%,"경쟁, 관리소장"
호원 신도4차,6,실사요청,진행중,,50%,경쟁
의정부 한라비발디,3,실사요청,진행중,,50%,"7월설치 희망, 경쟁"
공릉 삼익2차아파트,6,계약대기,진행중,,50%,경쟁
중계삼성,5,실사완료,진행중,,50%,"2월27일 입대의, 경쟁, 긴급실사"
중계진로,3,실사완료,진행중,,50%,"2월27일 입대의, 경쟁, 긴급실사"
수유벽산,23,실사요청,진행중,,50%,"경쟁, 급속1기요청"
다산메트로3단지,19,실사요청,진행중,,50%,경쟁